"Date","Price","Open","High","Low","Change %"
"Feb 20, 2019","1.1337","1.1342","1.1374","1.1324","-0.04%"
"Feb 19, 2019","1.1341","1.1310","1.1358","1.1274","0.27%"
"Feb 18, 2019","1.1311","1.1288","1.1337","1.1284","0.14%"
"Feb 15, 2019","1.1295","1.1295","1.1313","1.1233","-0.05%"
"Feb 14, 2019","1.1301","1.1262","1.1313","1.1247","0.30%"
"Feb 13, 2019","1.1267","1.1326","1.1346","1.1260","-0.51%"
"Feb 12, 2019","1.1325","1.1280","1.1342","1.1256","0.43%"
"Feb 11, 2019","1.1276","1.1328","1.1331","1.1264","-0.48%"
"Feb 08, 2019","1.1330","1.1346","1.1355","1.1320","-0.10%"
"Feb 07, 2019","1.1341","1.1360","1.1375","1.1322","-0.18%"
"Feb 06, 2019","1.1362","1.1406","1.1420","1.1359","-0.46%"
"Feb 05, 2019","1.1415","1.1442","1.1456","1.1400","-0.20%"
"Feb 04, 2019","1.1438","1.1457","1.1467","1.1421","-0.16%"
"Feb 01, 2019","1.1456","1.1447","1.1490","1.1433","0.09%"
"Jan 31, 2019","1.1446","1.1480","1.1517","1.1434","-0.29%"
"Jan 30, 2019","1.1479","1.1433","1.1503","1.1404","0.41%"
"Jan 29, 2019","1.1432","1.1428","1.1453","1.1410","-0.02%"
"Jan 28, 2019","1.1434","1.1404","1.1445","1.1388","0.17%"
"Jan 25, 2019","1.1415","1.1306","1.1421","1.1298","0.96%"
"Jan 24, 2019","1.1306","1.1380","1.1398","1.1287","-0.66%"
"Jan 23, 2019","1.1381","1.1358","1.1397","1.1348","0.19%"
"Jan 22, 2019","1.1359","1.1365","1.1386","1.1334","-0.06%"
"Jan 21, 2019","1.1366","1.1371","1.1409","1.1355","0.03%"
"Jan 18, 2019","1.1363","1.1389","1.1413","1.1352","-0.31%"
"Jan 17, 2019","1.1398","1.1396","1.1410","1.1369","-0.02%"
"Jan 16, 2019","1.1400","1.1414","1.1429","1.1377","-0.15%"
"Jan 15, 2019","1.1417","1.1473","1.1494","1.1381","-0.52%"
"Jan 14, 2019","1.1477","1.1471","1.1485","1.1440","0.07%"
"Jan 11, 2019","1.1469","1.1499","1.1542","1.1457","-0.27%"
"Jan 10, 2019","1.1500","1.1542","1.1572","1.1485","-0.37%"
"Jan 09, 2019","1.1543","1.1444","1.1556","1.1435","0.88%"
"Jan 08, 2019","1.1442","1.1476","1.1487","1.1422","-0.30%"
"Jan 07, 2019","1.1476","1.1392","1.1485","1.1392","0.71%"
"Jan 04, 2019","1.1395","1.1393","1.1422","1.1345","0.01%"
"Jan 03, 2019","1.1394","1.1345","1.1413","1.1309","0.45%"
"Jan 02, 2019","1.1343","1.1464","1.1499","1.1325","-1.06%"
"Jan 01, 2019","1.1464","1.1466","1.1481","1.1425","-0.05%"
